Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag_Weight,Colors,quality_score,Variety,Processing Method
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,green,0,1950,2200,2075,60,green,90.58,NA,Washed / Wet
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,green,1,1950,2200,2075,60,green,89.92,Other,Washed / Wet
guatemala,others,others,5,specialty coffee association,others,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,others,0,1600,1800,1700,1,bluish-green,89.75,Bourbon,Other
ethiopia,oromia,yidnekachew dabessa coffee plantation,320,metad agricultural development plc,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,green,2,1800,2200,2000,60,green,89,NA,Natural / Dry
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,green,2,1950,2200,2075,60,green,88.83,Other,Washed / Wet
brazil,others,others,100,specialty coffee institute of asia,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,bluish-green,1,others,others,2000,30,bluish-green,88.83,NA,Natural / Dry
peru,others,hvc,100,specialty coffee institute of asia,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,bluish-green,0,others,others,2075,69,bluish-green,88.75,Other,Washed / Wet
ethiopia,oromia,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,others,0,1570,1700,1635,60,bluish-green,88.67,NA,Other
ethiopia,oromiya,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,others,0,1570,1700,1635,60,bluish-green,88.42,NA,Other
ethiopia,"snnp/kaffa zone,gimbowereda",diamond enterprise plc,50,metad agricultural development plc,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,green,4,1795,1850,1822.5,60,green,88.25,Other,Natural / Dry
